kind,value,source
extension,l,github-linguist + curated
extension,lagda,github-linguist + curated
extension,langium,github-linguist + curated
extension,lark,github-linguist + curated
extension,las,github-linguist + curated
extension,lasso,github-linguist + curated
extension,lasso8,github-linguist + curated
extension,lasso9,github-linguist + curated
extension,latte,github-linguist + curated
extension,launch,github-linguist + curated
extension,lbx,github-linguist + curated
extension,ld,github-linguist + curated
extension,lds,github-linguist + curated
extension,lean,github-linguist + curated
extension,leex,github-linguist + curated
extension,lektorproject,github-linguist + curated
extension,leo,github-linguist + curated
extension,lex,github-linguist + curated
extension,lfe,github-linguist + curated
extension,libsonnet,github-linguist + curated
extension,lid,github-linguist + curated
extension,lidr,github-linguist + curated
extension,ligo,github-linguist + curated
extension,linq,github-linguist + curated
extension,lisp,github-linguist + curated
extension,litcoffee,github-linguist + curated
extension,livecodescript,github-linguist + curated
extension,livemd,github-linguist + curated
extension,lkml,github-linguist + curated
extension,ll,github-linguist + curated
extension,lmi,github-linguist + curated
extension,logtalk,github-linguist + curated
extension,lol,github-linguist + curated
extension,lookml,github-linguist + curated
extension,lp,github-linguist + curated
extension,lpr,github-linguist + curated
extension,lslp,github-linguist + curated
extension,ltx,github-linguist + curated
extension,luau,github-linguist + curated
extension,lvclass,github-linguist + curated
extension,lvlib,github-linguist + curated
extension,lvproj,github-linguist + curated
extension,m2,github-linguist + curated
extension,m3u,github-linguist + curated
extension,m3u8,github-linguist + curated
extension,ma,github-linguist + curated
extension,make,github-linguist + curated
extension,makefile,github-linguist + curated
extension,mako,github-linguist + curated
extension,man,github-linguist + curated
extension,mao,github-linguist + curated
extension,marko,github-linguist + curated
extension,mask,github-linguist + curated
extension,mata,github-linguist + curated
extension,matah,github-linguist + curated
extension,mathematica,github-linguist + curated
extension,matlab,github-linguist + curated
extension,mawk,github-linguist + curated
extension,maxhelp,github-linguist + curated
extension,maxpat,github-linguist + curated
extension,maxproj,github-linguist + curated
extension,mbt,github-linguist + curated
extension,mc,github-linguist + curated
extension,mcfunction,github-linguist + curated
extension,mch,github-linguist + curated
extension,mcmeta,github-linguist + curated
extension,mcr,github-linguist + curated
extension,md2,github-linguist + curated
extension,md4,github-linguist + curated
extension,md5,github-linguist + curated
extension,mdoc,github-linguist + curated
extension,mdpolicy,github-linguist + curated
extension,mdwn,github-linguist + curated
extension,me,github-linguist + curated
extension,mediawiki,github-linguist + curated
extension,mermaid,github-linguist + curated
extension,meta,github-linguist + curated
extension,metal,github-linguist + curated
extension,mg,github-linguist + curated
extension,minid,github-linguist + curated
extension,mint,github-linguist + curated
extension,mir,github-linguist + curated
extension,mirah,github-linguist + curated
extension,mjml,github-linguist + curated
extension,mkdown,github-linguist + curated
extension,mkfile,github-linguist + curated
extension,mkii,github-linguist + curated
extension,mkiv,github-linguist + curated
extension,mkvi,github-linguist + curated
extension,ml4,github-linguist + curated
extension,mligo,github-linguist + curated
extension,mlir,github-linguist + curated
extension,mmd,github-linguist + curated
extension,mmk,github-linguist + curated
extension,mms,github-linguist + curated
extension,monkey,github-linguist + curated
extension,monkey2,github-linguist + curated
extension,moo,github-linguist + curated
extension,move,github-linguist + curated
extension,mps,github-linguist + curated
extension,mrc,github-linguist + curated
extension,msd,github-linguist + curated
extension,msg,github-linguist + curated
extension,mspec,github-linguist + curated
extension,mss,github-linguist + curated
extension,mt,github-linguist + curated
extension,mtl,github-linguist + curated
extension,mtml,github-linguist + curated
extension,mu,github-linguist + curated
extension,muf,github-linguist + curated
extension,mumps,github-linguist + curated
extension,muse,github-linguist + curated
extension,mustache,github-linguist + curated
extension,mxt,github-linguist + curated
extension,mysql,github-linguist + curated
extension,myt,github-linguist + curated
extension,mzn,github-linguist + curated
extension,nanorc,github-linguist + curated
extension,nasl,github-linguist + curated
extension,nasm,github-linguist + curated
extension,natvis,github-linguist + curated
extension,nawk,github-linguist + curated
extension,nb,github-linguist + curated
extension,nbp,github-linguist + curated
extension,nc,github-linguist + curated
extension,ncl,github-linguist + curated
extension,ndproj,github-linguist + curated
extension,ne,github-linguist + curated
extension,nearley,github-linguist + curated
extension,ned,github-linguist + curated
extension,nginxconf,github-linguist + curated
extension,ni,github-linguist + curated
extension,nim.cfg,github-linguist + curated
extension,nimble,github-linguist + curated
extension,nimrod,github-linguist + curated
extension,nims,github-linguist + curated
extension,ninja,github-linguist + curated
extension,nit,github-linguist + curated
extension,njk,github-linguist + curated
extension,njs,github-linguist + curated
extension,nl,github-linguist + curated
extension,nlogo,github-linguist + curated
extension,no,github-linguist + curated
extension,nomad,github-linguist + curated
extension,nproj,github-linguist + curated
extension,nqp,github-linguist + curated
extension,nr,github-linguist + curated
extension,nse,github-linguist + curated
extension,nss,github-linguist + curated
extension,numpy,github-linguist + curated
extension,numpyw,github-linguist + curated
extension,numsc,github-linguist + curated
extension,nuspec,github-linguist + curated
extension,ny,github-linguist + curated
extension,ob2,github-linguist + curated
extension,obj,github-linguist + curated
extension,objdump,github-linguist + curated
extension,odd,github-linguist + curated
extension,ol,github-linguist + curated
extension,omgrofl,github-linguist + curated
extension,opa,github-linguist + curated
extension,opal,github-linguist + curated
extension,opencl,github-linguist + curated
extension,orc,github-linguist + curated
extension,osm,github-linguist + curated
extension,outjob,github-linguist + curated
extension,overpassql,github-linguist + curated
extension,owl,github-linguist + curated
extension,ox,github-linguist + curated
extension,oxh,github-linguist + curated
extension,oxo,github-linguist + curated
extension,oxygene,github-linguist + curated
extension,p4,github-linguist + curated
extension,p6,github-linguist + curated
extension,p6l,github-linguist + curated
extension,p6m,github-linguist + curated
extension,p8,github-linguist + curated
extension,pac,github-linguist + curated
extension,pact,github-linguist + curated
extension,pan,github-linguist + curated
extension,parrot,github-linguist + curated
extension,pascal,github-linguist + curated
extension,pasm,github-linguist + curated
extension,pat,github-linguist + curated
extension,pbt,github-linguist + curated
extension,pbtxt,github-linguist + curated
extension,pcbdoc,github-linguist + curated
extension,pd,github-linguist + curated
extension,pd_lua,github-linguist + curated
extension,pde,github-linguist + curated
extension,peggy,github-linguist + curated
extension,pegjs,github-linguist + curated
extension,pep,github-linguist + curated
extension,per,github-linguist + curated
extension,pfa,github-linguist + curated
extension,pgsql,github-linguist + curated
extension,ph,github-linguist + curated
extension,phtml,github-linguist + curated
extension,pic,github-linguist + curated
extension,pig,github-linguist + curated
extension,pike,github-linguist + curated
extension,pir,github-linguist + curated
extension,pkgproj,github-linguist + curated
extension,pkl,github-linguist + curated
extension,pl6,github-linguist + curated
extension,plantuml,github-linguist + curated
extension,plb,github-linguist + curated
extension,plot,github-linguist + curated
extension,pls,github-linguist + curated
extension,plsql,github-linguist + curated
extension,plt,github-linguist + curated
extension,pluginspec,github-linguist + curated
extension,pm6,github-linguist + curated
extension,pml,github-linguist + curated
extension,pod,github-linguist + curated
extension,pod6,github-linguist + curated
extension,podsl,github-linguist + curated
extension,pogo,github-linguist + curated
extension,polar,github-linguist + curated
extension,por,github-linguist + curated
extension,postcss,github-linguist + curated
extension,pot,github-linguist + curated
extension,pprx,github-linguist + curated
extension,praat,github-linguist + curated
extension,prefab,github-linguist + curated
extension,prg,github-linguist + curated
extension,prjpcb,github-linguist + curated
extension,proj,github-linguist + curated
extension,prolog,github-linguist + curated
extension,props,github-linguist + curated
extension,proto,github-linguist + curated
extension,prw,github-linguist + curated
extension,ps1xml,github-linguist + curated
extension,psc,github-linguist + curated
extension,psc1,github-linguist + curated
extension,psgi,github-linguist + curated
extension,pt,github-linguist + curated
extension,pubxml,github-linguist + curated
extension,pug,github-linguist + curated
extension,puml,github-linguist + curated
extension,pwn,github-linguist + curated
extension,pyde,github-linguist + curated
extension,pyp,github-linguist + curated
extension,pyt,github-linguist + curated
extension,pytb,github-linguist + curated
extension,qasm,github-linguist + curated
extension,qbs,github-linguist + curated
extension,qc,github-linguist + curated
extension,qhelp,github-linguist + curated
extension,ql,github-linguist + curated
extension,qll,github-linguist + curated
extension,qs,github-linguist + curated
extension,r2,github-linguist + curated
extension,r3,github-linguist + curated
extension,raku,github-linguist + curated
extension,rakumod,github-linguist + curated
